subject,task_short_desc,ritm_short_desc,description,related_env,target_team,task_id,parent_id
"Catalog Task TASK1628483 has been assigned to group iNET Cloud  Support Team","[GCP] ขอย้าย GCP Project ""cbm-reg-ecreditapproval-prd"" move to folder bypass organize policy ชั่วคราว","[GCP] ขอย้าย GCP Project ""cbm-reg-ecreditapproval-prd"" move to folder bypass organize policy ชั่วคราว","[GCP] ขอย้าย GCP Project ""cbm-reg-ecreditapproval-prd"" move to folder bypass organize policy ชั่วคราว",N/A,GCP Team,TASK1628483,RITM0841756
"Catalog Task TASK1628215 has been assigned to group iNET Cloud  Support Team",ขอเพิ่ม accounts เข้า google workspace เพื่อใช้งานฟังก์ชัน login ด้วย IAP ของ Google,ขอเพิ่ม accounts เข้า google workspace เพื่อใช้งานฟังก์ชัน login ด้วย IAP ของ Google,ขอเพิ่ม accounts เข้า google workspace เพื่อใช้งานฟังก์ชัน login ด้วย IAP ของ Google,N/A,GCP Team,TASK1628215,RITM0841639
"Catalog Task TASK1628153 has been assigned to group iNET Cloud  Support Team",Create Cloud CMDB,[AWS] New AWS Cloud Project Name: AWS- CORP-CIO-IP-WATCH-PRD,[AWS] New AWS Cloud Project Name: AWS- CORP-CIO-IP-WATCH-PRD,N/A,AWS Team,TASK1628153,RITM0841299
"Catalog Task TASK1628027 has been assigned to group iNET Cloud  Support Team",[AWS] New AWS Cloud Project Name: AWS- CORP-CIO-IP-WATCH-PRD,[AWS] New AWS Cloud Project Name: AWS- CORP-CIO-IP-WATCH-PRD,[AWS] New AWS Cloud Project Name: AWS- CORP-CIO-IP-WATCH-PRD,N/A,AWS Team,TASK1628027,RITM0841299
"Catalog Task TASK1628026 has been assigned to group iNET Cloud  Support Team",[GCP] New GCP Cloud Project Name: CORP-CIO-IP-WATCH-PRD,[GCP] New GCP Cloud Project Name: CORP-CIO-IP-WATCH-PRD,[GCP] New GCP Cloud Project Name: CORP-CIO-IP-WATCH-PRD,N/A,GCP Team,TASK1628026,RITM0841297
"Change task CTASK0115459 has been assigned to group iNET Cloud  Support Team",N/A,N/A,Task for allow firewall on Cloud - AWS on Plan scan on 13 Mar 2026 13:00 –17 April 2026 20:00,N/A,AWS Team,CTASK0115459,CTASK0115459
"Catalog Task TASK1627421 has been assigned to group iNET Cloud  Support Team",Request to allow firewall for VA Scan 2026-Q1 & Hardening Scan for SCG Chemicals,Request to allow firewall for VA Scan 2026-Q1 & Hardening Scan for SCG Chemicals,Request to allow firewall for VA Scan 2026-Q1 & Hardening Scan for SCG Chemicals,● AWS Hub ● Chemicals Cloud ● On-prem   Request ขอ allow firewall    1.	For VA Scan  Subject                       : Quarterly Security Vulnerability Assessment Scan 2026 – Q1 Date and Time            :  Plan to scan on 13–20 March 2026     2.	For Hardening Scan  Subject                      :  Scan for remaining server. Date and Time            :  Plan to scan on 23 Mar 2026 –17 April 2026       Form : DXC Request form for Firewall v3.7_SCGC.xlsx   แจ้งจาก K.Kornchai  Sawanyarat State:  Assigned Click  here  to view the item Catalog Task Details: Task Number:  TASK1627421 State:  Assigned Assignment Group:  iNET Cloud Support Team Service Provider:  iNET Short Description:  Request to allow firewall for VA Scan 2026-Q1 & Hardening Scan for SCG Chemicals  Click  here  to view the task           Ref:MSG77417590,AWS Team,TASK1627421,RITM0840981
"Incident task ITASK0720321 has been assigned to group iNET Cloud  Support Team",N/A,N/A,[GCP] ตรวจสอบปัญหาเนื่องจากไม่สามารถเข้าใช้งาน rMuay ได้,N/A,GCP Team,ITASK0720321,ITASK0720321
"Catalog Task TASK1625165 has been assigned to group iNET Cloud  Support Team",[GCP] แก้ไขสมาชิกในกลุ่ม GCP Project : slb-hpb-data-platform-prd,[GCP] แก้ไขสมาชิกในกลุ่ม GCP Project : slb-hpb-data-platform-prd,[GCP] แก้ไขสมาชิกในกลุ่ม GCP Project : slb-hpb-data-platform-prd,N/A,GCP Team,TASK1625165,RITM0838828
"Catalog Task TASK1627246 has been assigned to group iNET Cloud  Support Team",Create Cloud CMDB,[AWS] ขอสร้าง AWS Cloud Project: AWS-CHEM-REP-OTD-Dev,[AWS] ขอสร้าง AWS Cloud Project: AWS-CHEM-REP-OTD-Dev,N/A,AWS Team,TASK1627246,RITM0831678
"Catalog Task TASK1617970 has been assigned to group iNET Cloud  Support Team",[AWS] ขอสร้าง AWS Cloud Project: AWS-CHEM-REP-OTD-Dev,[AWS] ขอสร้าง AWS Cloud Project: AWS-CHEM-REP-OTD-Dev,[AWS] ขอสร้าง AWS Cloud Project: AWS-CHEM-REP-OTD-Dev,N/A,AWS Team,TASK1617970,RITM0831678
"Catalog Task TASK1627160 has been assigned to group iNET Cloud  Support Team",Firewall Request : AWS Hub,Allow Firewall เพื่อทำการจำกัดการเข้าถึงระบบ SCG Healthcare,Allow Firewall เพื่อทำการจำกัดการเข้าถึงระบบ SCG Healthcare,● AWS Hub ● VPN User ● On-prem   File : DXC Request form for Firewall v3.7 - SCG Healthcare Revise Firewall_DXC_Updated.xlsx State:  Assigned Click  here  to view the item Catalog Task Details: Task Number:  TASK1627160 State:  Assigned Assignment Group:  iNET Cloud Support Team Service Provider:  iNET Short Description:  Firewall Request : AWS Hub Click  here  to view the task           Ref:MSG77400402,AWS Team,TASK1627160,RITM0840777
"Catalog Task TASK1626586 has been assigned to group iNET Cloud  Support Team",Update CI in CMDB,[AWS] ขอยกเลิก AWS Account จำนวน 2 account,[AWS] ขอยกเลิก AWS Account จำนวน 2 account,N/A,AWS Team,TASK1626586,RITM0837588
"Catalog Task TASK1621462 has been assigned to group iNET Cloud  Support Team",[AWS] ขอยกเลิก AWS Account จำนวน 2 account,[AWS] ขอยกเลิก AWS Account จำนวน 2 account,[AWS] ขอยกเลิก AWS Account จำนวน 2 account,N/A,AWS Team,TASK1621462,RITM0837588
"Incident task ITASK0719959 has been assigned to group iNET Cloud  Support Team",N/A,N/A,[Bingsu] แจ้งปัญหา Web 'https://justperformqas.scg.com  Error  blocked by CORS policy,N/A,AWS Team,ITASK0719959,ITASK0719959
"Catalog Task TASK1626482 has been assigned to group iNET Cloud  Support Team",[Ref.RITM0835890] ขอ Allow Firewall Source : ALL SYS to antivirus cortex,[Ref.RITM0835890] ขอ Allow Firewall Source : ALL SYS to antivirus cortex,[Ref.RITM0835890] ขอ Allow Firewall Source : ALL SYS to antivirus cortex,● AWS Hub   ไฟลืทีใ่ช้งาน : - aws_RITM0840653_DXC Request form for Firewall v3.7_v1.xlsx   หมายเหตุ : ต่อเนื่องจากเคสเดิม ตกหล่นในส่วนที่ต้องให้ inet ดำเนินการ State:  Assigned Click  here  to view the item Catalog Task Details: Task Number:  TASK1626482 State:  Assigned Assignment Group:  iNET Cloud Support Team Service Provider:  iNET Short Description:  [Ref.RITM0835890] ขอ Allow Firewall Source : ALL SYS to antivirus cortex Click  here  to view the task           Ref:MSG77361612,AWS Team,TASK1626482,RITM0840653
"Catalog Task TASK1625076 has been assigned to group iNET Cloud  Support Team",Firewall Request : AWS Hub,ขอ Allow Firewall จากระบบ Angel ไปยัง SAP PI และ Server SFTP ของ Coupa,ขอ Allow Firewall จากระบบ Angel ไปยัง SAP PI และ Server SFTP ของ Coupa,N/A,AWS Team,TASK1625076,RITM0839604
"Catalog Task TASK1625063 has been assigned to group iNET Cloud  Support Team",Firewall Request : GCP Hub,ขอ Allow Firewall สำหรับ access from CBMR SAP ERP (SAP S4) Application PRD,ขอ Allow Firewall สำหรับ access from CBMR SAP ERP (SAP S4) Application PRD,● IT One Services ● GCP Hub ● AWS Hub   Form : Request Allow Firewall for RPA to CBMR Server v3.7_12-02-26.xlsx State:  Assigned Click  here  to view the item Catalog Task Details: Task Number:  TASK1625063 State:  Assigned Assignment Group:  iNET Cloud Support Team Service Provider:  iNET Short Description:  Firewall Request : GCP Hub Click  here  to view the task           Ref:MSG77286788,GCP Team,TASK1625063,RITM0837345
"Catalog Task TASK1625065 has been assigned to group iNET Cloud  Support Team",Firewall Request : AWS Hub,ขอ Allow Firewall สำหรับ access from CBMR SAP ERP (SAP S4) Application PRD,ขอ Allow Firewall สำหรับ access from CBMR SAP ERP (SAP S4) Application PRD,● IT One Services ● GCP Hub ● AWS Hub   Form : Request Allow Firewall for RPA to CBMR Server v3.7_12-02-26.xlsx State:  Awaiting Approval Click  here  to view the item Catalog Task Details: Task Number:  TASK1625065 State:  Assigned Assignment Group:  iNET Cloud Support Team Service Provider:  iNET Short Description:  Firewall Request : AWS Hub Click  here  to view the task           Ref:MSG77286784,AWS Team,TASK1625065,RITM0837345
"Catalog Task TASK1624680 has been assigned to group iNET Cloud  Support Team",[GCP] [Ref. RITM0837996] ขอเปิดสิทธิ์ให้ User :  saritac@scg.com เข้าใช้งาน GCP,[GCP] [Ref. RITM0837996] ขอเปิดสิทธิ์ให้ User :  saritac@scg.com เข้าใช้งาน GCP,[GCP] [Ref. RITM0837996] ขอเปิดสิทธิ์ให้ User :  saritac@scg.com เข้าใช้งาน GCP,N/A,GCP Team,TASK1624680,RITM0839839
"Catalog Task TASK1624597 has been assigned to group iNET Cloud  Support Team",ขอเปิดสิทธิ์ User : Request for adding SCG account into GCP user สำหรับ SCG account 5 User,ขอเปิดสิทธิ์ User : Request for adding SCG account into GCP user สำหรับ SCG account 5 User,ขอเปิดสิทธิ์ User : Request for adding SCG account into GCP user สำหรับ SCG account 5 User,N/A,GCP Team,TASK1624597,RITM0839735
